ணி,0.4185862928,ணி,0.4185862928,-0.3782149974
ணி1,0.2260001349,ணி1,0.2260001349,-0.6458913016
ணி2,0.3485995249,ணி2,0.3485995249,-0.4576732091
ணீ,0.0217253583,ணீ,0.0217253583,-1.6630330523
ணீ1,0.0118059772,ணீ1,0.0118059772,-1.9278980598
ணீ2,0.018092923,ணீ2,0.018092923,-1.7424912651
ணு,0.0878964878,ணு,0.0878964878,-1.0560284783
ணு1,0.1146866356,ணு1,0.1146866356,-0.9404871874
ணு2,0.0732003757,ணு2,0.0732003757,-1.1354866899
ணூ,0.0028193213,ணூ,0.0028193213,-2.5498554275
ணூ2,0.0023479366,ணூ2,0.0023479366,-2.6293136343
ணெ,0.0227204129,ணெ,0.0227204129,-1.6435837804
ணெ1,0.010119409,ணெ1,0.010119409,-1.9948448507
ணே,0.0031510062,ணே,0.0031510062,-2.5015507423
ணே1,0.0202388181,ணே1,0.0202388181,-1.6938148529
ணை,0.1383125864,ணை,0.1383125864,-0.8591382974
ணை1,0.1720299535,ணை1,0.1720299535,-0.7643959281
ணொ,0.0013267394,ணொ,0.0013267394,-2.8772143735
ணொ1,0.0084328409,ணொ1,0.0084328409,-2.0740260933
ணோ,0.0064678548,ணோ,0.0064678548,-2.1892397383
ணோ1,0.0084328409,ணோ1,0.0084328409,-2.0740260933
ணௌ,0.0001658424,ணௌ,0.0001658424,-3.7803044259
த்,2.8053905423,த்,2.8053905423,0.4479933285
த்1,2.0862848276,த்1,2.0862848276,0.3193735997
த்2,2.3363350091,த்2,2.3363350091,0.3685351168
த,4.532805291,த,4.532805291,0.6563670641
த1,2.533225393,த1,2.533225393,0.4036738327
த2,5.0752720844,த2,5.0752720844,0.7054593297
தா,0.7127907632,தா,0.7127907632,-0.1470379368
தா1,0.7724482224,தா1,0.7724482224,-0.1121306219
தி,2.1095157069,தி,2.1095157069,0.3241827634
தி1,1.7371652162,தி1,1.7371652162,0.2398411248
தி2,1.7568090161,தி2,1.7568090161,0.2447245516
தீ,0.1631889509,தீ,0.1631889509,-0.7873092495
தீ1,0.1045672266,தீ1,0.1045672266,-0.9806044105
தீ2,0.1359040937,தீ2,0.1359040937,-0.8667674613
து,1.1572484751,து,1.1572484751,0.0634266172
து1,1.9378668286,து1,1.9378668286,0.2873239288
து2,0.9637589083,து2,0.9637589083,-0.0160315946
